Season,Nos,Name,Team,Age,Position,Appearances,Minutes,Goals,Assists,Yellows,Reds,SpG,Pass%,AerialsWon,MotM,Rating
2018,274,Florin Andone,Brighton,26,  FW,8(15),876,3,-,5,-,0.8,67.3,1.6,-,6.22
2014,275,Fraizer Campbell,Crystal Palace,32,  FW,13(7),1176,4,-,5,-,1.3,70.8,1.6,-,6.47
2014,12,Francis Coquelin,Arsenal,28,  M(CLR),19(3),1663,-,-,5,-,0.2,85.8,2.5,-,7.47
2015,64,Francis Coquelin,Arsenal,28,  M(CLR),21(5),1647,-,-,5,1,0.3,89.1,0.7,1,7.1
2016,154,Francis Coquelin,Arsenal,28,  M(CLR),22(7),1786,-,-,5,-,0.5,87.8,1.2,1,6.8
2014,258,Frank Lampard,Manchester City,41,  M(C),10(22),991,6,1,1,-,1,85.1,0.2,-,6.56
2014,226,Fraser Forster,Southampton,31,  GK,30,2624,-,-,1,-,-,57.6,0.1,1,6.67
2015,191,Fraser Forster,Southampton,31,  GK,18,1620,-,-,-,-,-,50.8,0.1,1,6.75
2016,273,Fraser Forster,Southampton,31,  GK,38,3420,-,-,3,-,-,48.8,0.1,2,6.39
2017,252,Fraser Forster,Southampton,31,  GK,20,1800,-,-,-,-,-,43,0.1,-,6.51
2019,173,Fred,Manchester United,26,  M(C),4(3),418,-,-,2,-,1.6,87.4,0.1,-,6.61
2019,51,Frederic Guilbert,Aston Villa,24,  D(CLR)M(R),9,784,-,2,3,-,0.4,72.1,2.3,1,7.05
2014,274,Gabriel Agbonlahor,Aston Villa,33,  AM(CLR)FW,30(4),2695,6,1,7,1,1.6,74.8,1.4,1,6.48
2017,54,Gabriel Jesus,Manchester City,22,  AM(LR)FW,19(10),1673,13,3,6,-,1.9,79.7,0.7,1,7.05
2018,193,Gabriel Jesus,Manchester City,22,  AM(LR)FW,8(21),1022,7,3,1,-,1.5,82.6,0.5,1,6.64
2019,34,Gabriel Jesus,Manchester City,22,  AM(LR)FW,4(4),433,3,1,-,-,3.4,87.4,1.8,1,7.2
2015,28,Gabriel Paulista,Arsenal,28,  D(CR),18(3),1762,1,-,4,1,0.5,90.2,2.4,-,7.23
2016,117,Gabriel Paulista,Arsenal,28,  D(CR),15(4),1516,-,-,6,-,0.5,87,2.6,-,6.9
2014,19,Gaël Clichy,Manchester City,34,  D(L),23,2058,1,3,1,-,0.3,81.5,1,3,7.38
2016,90,Gaël Clichy,Manchester City,34,  D(L),24(1),2125,1,-,2,-,0.1,85.2,1.2,-,6.98
2017,224,Gaëtan Bong,Brighton,31,  D(L),25,2238,-,-,2,-,0.2,70.5,1.2,-,6.59
2018,268,Gaëtan Bong,Brighton,31,  D(L),19(3),1805,-,-,-,-,0.1,74.3,1.1,-,6.31
2014,171,Gareth Barry,Everton,38,  M(C),33,2827,-,2,10,1,0.5,84.6,1.3,1,6.85
2015,86,Gareth Barry,Everton,38,  M(C),32(1),2837,-,1,5,1,0.5,81.9,1.7,1,7.04
2016,140,Gareth Barry,Everton,38,  M(C),23(10),2114,2,1,10,-,0.5,79.4,1,1,6.84
2017,236,Gareth Barry,West Bromwich Albion,38,  M(C),22(3),1927,1,1,4,-,0.6,76.5,1.3,-,6.57
2014,134,Gareth McAuley,West Bromwich Albion,39,  D(C),24,2072,1,-,2,1,0.3,71.4,3.2,-,6.97
2015,107,Gareth McAuley,West Bromwich Albion,39,  D(C),34,3060,1,-,4,1,0.2,68.6,2.7,-,6.95
2016,58,Gareth McAuley,West Bromwich Albion,39,  D(C),36,3143,6,1,5,-,0.4,65.9,3.1,1,7.11
2014,138,Gary Cahill,Chelsea,33,  D(C),33(3),2985,1,-,5,-,0.6,86.5,3.3,-,6.96
2015,164,Gary Cahill,Chelsea,33,  D(C),21(2),1955,2,1,2,-,0.6,83.6,3,-,6.81
2016,64,Gary Cahill,Chelsea,33,  D(C),36(1),3296,6,-,5,-,0.6,88.4,2.5,1,7.06
2017,113,Gary Cahill,Chelsea,33,  D(C),24(3),2084,-,-,1,1,0.4,89,3.4,-,6.87
2019,155,Gary Cahill,Crystal Palace,33,  D(C),9,810,-,-,1,-,0.8,89.6,2.2,-,6.66
2015,279,Gary O'Neil,Norwich,36,  M(CR),19(8),1749,-,-,7,1,0.4,77,0.9,-,6.42
2014,253,Gastón Ramírez,Hull,28,  AM(CLR),11(11),986,1,2,1,1,0.7,83.6,0.5,-,6.6
2016,137,Gastón Ramírez,Middlesbrough,28,  AM(CLR),20(4),1550,2,3,8,1,1.3,75.8,0.6,3,6.84
2014,132,Geoff Cameron,Stoke,34,  D(CLR)DMC,21(6),2135,-,1,4,-,0.3,75,1.6,-,6.97
2015,144,Geoff Cameron,Stoke,34,  D(CLR)DMC,27(3),2361,-,-,-,1,0.5,76.3,2.3,-,6.86
2016,57,Geoff Cameron,Stoke,34,  D(CLR)DMC,18(1),1628,-,1,1,-,0.6,74.5,2.9,1,7.11
2017,197,Geoff Cameron,Stoke,34,  D(CLR)DMC,17(3),1526,-,-,2,-,0.3,72.3,2,-,6.67
2019,124,George Baldock,Sheffield United,26,  D(R)M(R),11,990,-,1,3,-,0.5,79.1,0.8,-,6.77
2014,125,George Boyd,Burnley,34,  M(CLR),35,3014,5,2,7,-,1.4,74.3,1.3,2,6.99
2016,220,George Boyd,Burnley,34,  M(CLR),33(3),2845,2,1,3,-,1,73.1,0.6,-,6.6
2016,85,George Friend,Middlesbrough,32,  D(CL)M(L),20(4),1960,-,2,4,-,0.6,77.2,2,-,6.99
2015,122,Georginio Wijnaldum,Newcastle United,28,  M(CL),36(2),3169,11,5,1,-,1.4,84.8,0.7,2,6.91
2016,97,Georginio Wijnaldum,Liverpool,28,  M(CL),33(3),2978,6,9,2,-,1.7,87.3,1.1,-,6.95
2017,146,Georginio Wijnaldum,Liverpool,28,  M(CL),27(6),2387,1,2,1,-,1.2,89.9,0.5,-,6.79
2018,96,Georginio Wijnaldum,Liverpool,28,  M(CL),32(3),2736,3,-,3,-,0.9,91.1,0.9,1,6.89
2019,127,Georginio Wijnaldum,Liverpool,28,  M(CL),11,905,1,-,-,-,1.3,91.4,0.6,-,6.75
2015,163,Gerard Deulofeu,Everton,25,  AM(LR)FW,16(10),1385,2,8,2,-,0.3,73.6,-,-,6.81
2018,114,Gerard Deulofeu,Watford,25,  AM(LR)FW,26(4),2083,10,5,3,-,2,77.4,0.1,3,6.84
2019,136,Gerard Deulofeu,Watford,25,  AM(LR)FW,8(3),717,1,1,2,-,2.4,83.2,-,1,6.71
2014,193,Glen Johnson,Liverpool,35,  D(CLR)M(R),15(4),1331,1,-,2,-,0.4,83,1.6,1,6.79
2015,117,Glen Johnson,Stoke,35,  D(CLR)M(R),25,2186,-,3,1,-,0.7,81.9,0.7,-,6.92
2016,156,Glen Johnson,Stoke,35,  D(CLR)M(R),21(2),1955,-,-,1,-,0.3,79,0.9,-,6.79
2015,287,Glenn Murray,Bournemouth,36,  FW,6(13),669,3,-,2,-,1.2,65.4,1.2,-,6.38
2017,225,Glenn Murray,Brighton,36,  FW,25(10),2198,12,-,9,-,1.5,55.1,3.3,3,6.59
2018,188,Glenn Murray,Brighton,36,  FW,30(8),2513,13,1,5,-,1.4,58.3,4.6,3,6.65
2019,244,Glenn Murray,Brighton,36,  FW,3(5),279,-,-,-,-,0.8,63.5,1.9,-,6.2
2014,154,Glenn Whelan,Stoke,35,  DMC,26(2),2265,-,-,6,-,0.5,84.6,1.5,-,6.91
2015,171,Glenn Whelan,Stoke,35,  DMC,37,3174,-,1,6,-,0.3,87,1.1,1,6.8
2016,222,Glenn Whelan,Stoke,35,  DMC,26(4),2278,-,1,5,-,0.2,84.5,0.9,-,6.6
2014,239,Graham Dorrans,West Bromwich Albion,32,  M(CLR),19(2),1594,1,3,5,-,1,82.9,0.5,1,6.64
2015,274,Graham Dorrans,Norwich,32,  M(CLR),14(7),1288,-,1,2,-,0.8,85.8,0.4,-,6.46
2016,95,Granit Xhaka,Arsenal,27,  M(C),28(4),2486,2,2,5,2,1.1,89.5,1.1,-,6.96
2017,63,Granit Xhaka,Arsenal,27,  M(C),37(1),3266,1,7,10,-,1.7,86.9,1.3,-,7.02
2018,56,Granit Xhaka,Arsenal,27,  M(C),29,2502,4,2,10,-,1,85.3,1.8,4,7.03
2019,157,Granit Xhaka,Arsenal,27,  M(C),9,742,-,1,4,-,0.7,86.5,1.7,-,6.65
2014,107,Graziano Pellè,Southampton,34,  FW,37(1),3284,12,2,6,-,3.2,65.3,4.7,2,7.03
2015,68,Graziano Pellè,Southampton,34,  FW,23(7),2174,11,6,6,-,2.7,66.1,3.7,4,7.08
2017,213,Grzegorz Krychowiak,West Bromwich Albion,29,  D(C)M(C),20(7),1643,-,2,2,-,0.6,78.4,1,-,6.62
2014,53,Gylfi Sigurdsson,Swansea,30,  M(CLR)FW,32,2697,7,10,2,-,2.1,84.9,0.3,2,7.18
2015,119,Gylfi Sigurdsson,Swansea,30,  M(CLR)FW,32(4),2917,11,3,6,-,2.4,78.9,0.1,3,6.91
2016,29,Gylfi Sigurdsson,Swansea,30,  M(CLR)FW,37(1),3329,9,13,2,-,3.1,77,0.2,4,7.25
2017,102,Gylfi Sigurdsson,Everton,30,  M(CLR)FW,25(2),2262,4,3,2,-,1.4,74.9,0.7,1,6.88
2018,26,Gylfi Sigurdsson,Everton,30,  M(CLR)FW,36(2),3134,13,6,3,-,2.3,76.2,0.5,6,7.16
2019,156,Gylfi Sigurdsson,Everton,30,  M(CLR)FW,8(3),700,1,1,-,-,1.6,80,0.1,-,6.66
2016,284,Hal Robson-Kanu,West Bromwich Albion,30,  AM(LR)FW,5(24),683,3,2,3,-,0.6,77.7,0.7,-,6.24
2017,286,Hal Robson-Kanu,West Bromwich Albion,30,  AM(LR)FW,8(13),822,2,-,2,1,0.9,66.8,1.1,1,6.28
2019,223,Hamza Choudhury,Leicester,22,  M(C),4(4),321,-,1,1,-,0.4,87.3,0.3,-,6.37
2015,167,Harry Arter,Bournemouth,29,  M(C),21,1674,1,-,7,-,1.7,86,0.4,-,6.8
2016,178,Harry Arter,Bournemouth,29,  M(C),33(2),2959,1,4,11,1,1.5,88.2,0.1,2,6.72
2018,260,Harry Arter,Cardiff,29,  M(C),24(1),2009,-,1,10,-,0.9,80.7,0.2,-,6.39
2014,26,Harry Kane,Tottenham,26,  AM(C)FW,28(6),2582,21,4,4,-,3.3,75.2,1.5,5,7.28
2015,8,Harry Kane,Tottenham,26,  AM(C)FW,38,3370,25,1,5,-,4.2,73.1,2,8,7.53
2016,4,Harry Kane,Tottenham,26,  AM(C)FW,29(1),2536,29,7,3,-,3.7,71.7,1.5,7,7.68
2017,5,Harry Kane,Tottenham,26,  AM(C)FW,35(2),3083,30,2,5,-,5,71.2,1.6,9,7.6
2018,7,Harry Kane,Tottenham,26,  AM(C)FW,27(1),2427,17,4,5,-,3.6,73.1,1.8,6,7.38
2019,48,Harry Kane,Tottenham,26,  AM(C)FW,10,895,6,1,-,-,2.8,70.1,1.8,1,7.07
2016,63,Harry Maguire,Hull,26,  D(C),25(4),2307,2,2,5,-,1.2,76.2,2.4,3,7.07
2017,49,Harry Maguire,Leicester,26,  D(C),38,3420,2,4,7,-,0.8,78.4,3.1,1,7.08
2018,60,Harry Maguire,Leicester,26,  D(C),31,2599,3,-,6,1,1,85.6,3.8,2,7.01
2019,96,Harry Maguire,Manchester United,26,  D(C),11,990,-,-,1,-,1,88,3.7,-,6.86
2019,153,Harry Wilson,Bournemouth,22,  AM(CLR),8(2),653,3,-,1,-,1.9,77.9,0.1,-,6.66
2016,277,Harry Winks,Tottenham,23,  DMC,3(18),480,1,1,1,-,0.3,90.2,-,-,6.36
2018,223,Harry Winks,Tottenham,23,  DMC,17(9),1592,1,-,4,-,0.3,91.8,0.5,1,6.55
2019,168,Harry Winks,Tottenham,23,  DMC,9(1),725,-,-,3,-,0.6,90.8,0.5,-,6.63
2019,74,Harvey Barnes,Leicester,21,  AM(CL),7(3),570,1,4,-,-,1.5,77.6,0.9,-,6.96
2014,55,Héctor Bellerín,Arsenal,24,  D(R)M(R),17(3),1562,2,1,5,-,0.3,83.7,0.9,-,7.18
2015,41,Héctor Bellerín,Arsenal,24,  D(R)M(R),36,3240,1,5,3,-,0.4,85.7,1.1,1,7.19
2016,151,Héctor Bellerín,Arsenal,24,  D(R)M(R),27(6),2500,1,4,4,-,0.7,84.6,1,-,6.81
2017,143,Héctor Bellerín,Arsenal,24,  D(R)M(R),34(1),3051,2,3,5,-,0.8,84.9,1,-,6.79
2018,262,Hélder Costa,Wolverhampton Wanderers,25,  AM(CLR),16(9),1346,1,2,3,-,1,81.4,0.4,-,6.36
2016,118,Henrikh Mkhitaryan,Manchester United,30,  M(CLR),15(9),1352,4,1,1,-,1.4,84.1,0.4,1,6.9
2018,99,Henrikh Mkhitaryan,Arsenal,30,  M(CLR),19(6),1645,6,4,1,-,2,79.9,0.8,1,6.88
2015,72,Heurelho Gomes,Watford,38,  GK,38,3397,-,-,4,-,-,46.4,0.4,5,7.07
2016,157,Heurelho Gomes,Watford,38,  GK,38,3339,-,-,1,-,-,48.8,0.3,-,6.79
2017,205,Heurelho Gomes,Watford,38,  GK,24,2129,-,-,-,-,-,55.9,0.5,-,6.64
2014,163,Hugo Lloris,Tottenham,32,  GK,35,3064,-,-,-,-,-,60.6,0.1,-,6.89
2015,193,Hugo Lloris,Tottenham,32,  GK,37,3330,-,-,-,-,-,63.8,0.1,-,6.75
2016,164,Hugo Lloris,Tottenham,32,  GK,34,3005,-,-,-,-,-,72.3,0.2,1,6.77
2017,171,Hugo Lloris,Tottenham,32,  GK,36,3240,-,-,1,-,-,75.2,0.3,1,6.74
2018,74,Hugo Lloris,Tottenham,32,  GK,33,2970,-,-,-,-,-,73.6,0.3,2,6.96
2019,91,Hugo Lloris,Tottenham,32,  GK,7,548,-,-,-,-,-,75.3,0.3,-,6.87
2015,241,Ibrahim Afellay,Stoke,33,  M(CLR),24(7),2099,2,2,3,1,1.3,90.2,0.5,-,6.6
2019,202,Ibrahim Amadou,Norwich,26,  D(C)DMC,6(1),594,-,-,1,-,0.3,88.5,2.1,1,6.49
2015,27,Idrissa Gueye,Aston Villa,30,  M(C),35,3076,-,1,10,-,0.9,85.6,0.9,3,7.25
2016,32,Idrissa Gueye,Everton,30,  M(C),32(1),2688,1,1,11,-,0.8,86.3,1,2,7.23
2017,76,Idrissa Gueye,Everton,30,  M(C),32(1),2757,2,1,6,1,0.7,84.7,1,1,6.95
2018,28,Idrissa Gueye,Everton,30,  M(C),32(1),2826,-,2,6,-,0.6,84.3,1,2,7.14
2015,265,Ikechi Anya,Watford,31,  D(L)M(LR)FW,17(11),1680,-,1,-,-,0.4,79.4,0.5,-,6.5
2017,180,Ilkay Gündogan,Manchester City,29,  M(C),15(15),1510,4,1,3,-,1.2,91.7,0.1,-,6.73
2018,41,Ilkay Gündogan,Manchester City,29,  M(C),23(8),2136,6,3,3,-,1.4,90.8,0.8,2,7.1
2019,121,Ilkay Gündogan,Manchester City,29,  M(C),8(2),687,1,-,3,-,1.7,90.3,0.4,-,6.78
2017,245,Isaac Hayden,Newcastle United,24,  DMC,15(11),1372,1,-,7,-,0.5,75.3,2,-,6.53
2018,76,Isaac Hayden,Newcastle United,24,  DMC,21(4),1864,1,4,3,1,0.9,79.4,2.2,2,6.96
2019,106,Isaac Hayden,Newcastle United,24,  DMC,8,673,-,1,1,1,0.8,78.4,1.5,-,6.82
2018,279,Isaac Mbenza,Huddersfield,23,  AM(LR)FW,10(12),984,1,1,1,-,0.7,75.4,0.1,-,6.14
2016,270,Isaac Success,Watford,23,  AM(LR)FW,2(17),506,1,1,2,-,0.7,70.2,0.3,-,6.39
2018,267,Isaac Success,Watford,23,  AM(LR)FW,9(21),1039,1,1,4,-,1,71.3,1,-,6.32
2016,187,Islam Slimani,Leicester,31,  FW,13(10),1280,7,4,1,-,1.5,70.7,2.3,-,6.69
2018,95,Issa Diop,West Ham,22,  D(C),33,2970,1,-,4,-,0.4,86,2.3,1,6.89
2019,152,Issa Diop,West Ham,22,  D(C),11,990,-,-,4,-,0.5,84.5,2.5,-,6.67
2018,265,Ivan Cavaleiro,Wolverhampton Wanderers,26,  AM(CLR)FW,6(17),687,3,1,1,-,0.6,75.5,0.4,-,6.35
2015,126,Jack Butland,Stoke,26,  GK,31,2790,-,-,-,-,-,49.7,0.1,2,6.9
2017,158,Jack Butland,Stoke,26,  GK,35,3150,-,-,-,-,-,46.1,0.2,2,6.76
2014,152,Jack Colback,Newcastle United,30,  D(L)M(C),35,3129,4,6,12,-,0.8,87.5,0.5,3,6.91
2015,127,Jack Colback,Newcastle United,30,  D(L)M(C),28(1),2397,1,1,11,-,0.5,84.8,0.9,-,6.9
2015,83,Jack Cork,Swansea,30,  DMC,28(7),2545,1,2,3,-,0.5,83.8,1.7,1,7.05
2016,219,Jack Cork,Swansea,30,  DMC,25(5),2233,-,-,7,-,0.6,83.5,1.2,-,6.6
2017,175,Jack Cork,Burnley,30,  DMC,38,3420,2,1,7,-,0.4,80.6,1.5,-,6.74
2018,219,Jack Cork,Burnley,30,  DMC,37,3313,1,2,6,-,0.5,81.2,1.4,-,6.58
2019,185,Jack Cork,Burnley,30,  DMC,9,754,-,-,-,-,0.6,74.6,2,-,6.57
2019,20,Jack Grealish,Aston Villa,24,  AM(CL),10,894,2,3,3,-,1.8,85.3,0.2,1,7.35
2019,44,Jack O'Connell,Sheffield United,25,  D(C),11,990,-,1,2,-,0.6,74.3,4.7,1,7.09
2014,243,Jack Rodwell,Sunderland,28,  D(C)M(C),17(6),1487,3,-,5,-,1.3,84.1,0.8,-,6.63
2015,281,Jack Rodwell,Sunderland,28,  D(C)M(C),9(13),1159,1,-,5,-,1.1,75.6,1.1,-,6.41
2016,213,Jack Rodwell,Sunderland,28,  D(C)M(C),17(3),1493,-,1,4,-,1,78.1,1.7,-,6.62
2017,141,Jack Stephens,Southampton,25,  D(C),22,1980,2,-,6,1,0.5,75.5,2,1,6.79
2018,230,Jack Stephens,Southampton,25,  D(C),19(5),1699,1,-,4,-,0.3,75,2.3,1,6.52
2016,148,Jack Wilshere,Bournemouth,27,  M(CLR),22(5),1916,-,2,3,-,1,83.4,0.3,-,6.82
2017,125,Jack Wilshere,Arsenal,27,  M(CLR),12(8),1188,1,3,6,-,0.8,86.4,0.4,1,6.82
2017,284,Jacob Murphy,Newcastle United,24,  AM(LR),13(12),1145,1,1,-,-,0.9,65.5,0.3,-,6.29
2014,215,Jake Livermore,Hull,29,  D(C)DMC,35,3033,1,1,10,-,1,83.5,0.6,-,6.72
2016,175,Jake Livermore,Hull,29,  D(C)DMC,20(1),1673,1,1,3,1,1,84.9,1,-,6.72
2017,244,Jake Livermore,West Bromwich Albion,29,  D(C)DMC,30(4),2675,2,2,5,-,0.4,78.6,0.7,-,6.53
2015,233,Jamaal Lascelles,Newcastle United,25,  D(C),10(8),1149,2,-,1,1,0.2,79.8,2.4,-,6.61
2017,56,Jamaal Lascelles,Newcastle United,25,  D(C),32(1),2928,3,-,5,-,0.4,77.1,3.9,1,7.04
2018,126,Jamaal Lascelles,Newcastle United,25,  D(C),32,2748,-,1,4,-,0.3,76.7,2.9,-,6.8
2019,114,Jamaal Lascelles,Newcastle United,25,  D(C),11,982,1,-,1,-,0.4,82.2,2.2,1,6.8
2019,194,Jamal Lewis,Norwich,21,  D(L)M(L),11,966,-,-,1,-,0.2,76.8,0.5,-,6.52
2014,108,James Chester,Hull,30,  D(CLR),23,1876,2,-,5,1,0.4,82,2,-,7.03
2014,45,James Collins,West Ham,36,  D(C),21(6),1879,-,-,5,1,0.3,64.9,3.9,2,7.21
2015,115,James Collins,West Ham,36,  D(C),16(3),1440,-,-,3,1,0.7,75.6,2.7,-,6.92
2016,126,James Collins,West Ham,36,  D(C),19(3),1654,2,-,3,-,0.5,78.4,2.7,1,6.87
2018,21,James Maddison,Leicester,22,  AM(CLR),35(1),2850,7,7,3,1,2.3,83.8,0.3,3,7.2
2019,5,James Maddison,Leicester,22,  AM(CLR),10,875,3,2,1,-,2.9,82.6,0.3,3,7.62
2014,56,James McArthur,Crystal Palace,32,  M(CLR),29(3),2607,2,-,6,-,1,78.6,1.8,2,7.17
2015,151,James McArthur,Crystal Palace,32,  M(CLR),26(2),2193,2,2,5,-,0.6,85.4,1.1,-,6.85
2016,195,James McArthur,Crystal Palace,32,  M(CLR),24(5),2010,5,3,5,-,0.8,78.5,1.1,-,6.67
2017,168,James McArthur,Crystal Palace,32,  M(CLR),27(6),2434,5,1,5,-,0.9,79.1,1.2,-,6.75
2018,125,James McArthur,Crystal Palace,32,  M(CLR),36(2),3072,3,6,7,-,0.9,79.3,1.3,1,6.8
2019,65,James McArthur,Crystal Palace,32,  M(CLR),10,862,-,1,1,-,0.7,78.9,1.3,-,6.98
2014,79,James McCarthy,Everton,28,  M(C),27(1),2404,2,1,7,-,0.7,85.6,1.3,2,7.09
2015,133,James McCarthy,Everton,28,  M(C),29,2435,2,2,5,1,0.6,87,0.4,1,6.88
2019,245,James McCarthy,Crystal Palace,28,  M(C),1(7),153,-,-,1,-,0.1,79.5,0.1,-,6.2
2015,156,James McClean,West Bromwich Albion,30,  D(L)M(CLR)FW,28(7),2416,2,2,7,1,0.9,69.3,1.7,2,6.83
2016,240,James McClean,West Bromwich Albion,30,  D(L)M(CLR)FW,13(21),1467,1,2,9,-,0.7,71.3,0.9,-,6.54
2017,276,James McClean,West Bromwich Albion,30,  D(L)M(CLR)FW,14(16),1397,1,-,7,-,1,72.4,0.5,-,6.38
2014,111,James Milner,Manchester City,33,  D(LR)M(CLR),18(14),1744,5,7,6,-,1.2,79.5,1.2,2,7.02
2015,34,James Milner,Liverpool,33,  D(LR)M(CLR),28,2416,5,11,9,1,1.4,77.4,1.1,4,7.21
2016,27,James Milner,Liverpool,33,  D(LR)M(CLR),36,3160,7,3,5,-,1,79.7,1.6,2,7.26
2017,149,James Milner,Liverpool,33,  D(LR)M(CLR),16(16),1764,-,3,3,-,0.7,86.4,0.7,1,6.78
2018,86,James Milner,Liverpool,33,  D(LR)M(CLR),19(12),1787,5,4,5,1,0.8,84.6,0.6,1,6.91
2019,230,James Milner,Liverpool,33,  D(LR)M(CLR),2(6),240,1,2,2,-,0.9,87.1,0.4,-,6.33
2014,146,James Morrison,West Bromwich Albion,33,  M(CR),29(4),2559,2,1,3,-,0.9,83.4,0.7,3,6.93
2015,97,James Morrison,West Bromwich Albion,33,  M(CR),17(1),1344,3,3,3,-,1.3,83.6,0.3,2,7
2016,245,James Morrison,West Bromwich Albion,33,  M(CR),17(14),1740,5,2,3,-,0.7,80.8,0.3,-,6.52
2016,271,James Tarkowski,Burnley,26,  D(C),4(15),556,-,-,1,-,0.3,68.1,1.4,-,6.39
2017,26,James Tarkowski,Burnley,26,  D(C),31,2790,-,-,5,-,0.6,73.1,4.7,4,7.22
2018,34,James Tarkowski,Burnley,26,  D(C),35,3087,3,1,8,-,0.6,69.5,4.8,3,7.11
2019,71,James Tarkowski,Burnley,26,  D(C),11,990,-,-,3,-,0.5,69.7,3.9,1,6.96
2014,16,James Tomkins,West Ham,30,  D(CR),20(2),1852,1,3,6,-,0.8,75.3,4.6,2,7.4
2015,131,James Tomkins,West Ham,30,  D(CR),23(2),1965,-,-,4,-,0.4,79.5,1.4,1,6.89
2016,166,James Tomkins,Crystal Palace,30,  D(CR),23(1),1978,3,-,4,-,0.6,76.9,2.4,-,6.76
2017,16,James Tomkins,Crystal Palace,30,  D(CR),27(1),2388,3,-,8,-,0.8,81.8,4.1,3,7.31
2018,112,James Tomkins,Crystal Palace,30,  D(CR),29,2563,1,1,6,-,0.8,83,3.1,-,6.85
2014,230,James Ward-Prowse,Southampton,25,  M(CR),16(9),1478,1,6,-,1,1.2,87.3,0.4,-,6.65
2015,258,James Ward-Prowse,Southampton,25,  M(CR),14(19),1534,2,4,5,-,0.8,83.5,0.3,-,6.55
2016,185,James Ward-Prowse,Southampton,25,  M(CR),22(8),1885,4,4,4,-,1.4,83.1,0.7,-,6.69
2017,226,James Ward-Prowse,Southampton,25,  M(CR),20(10),1717,3,3,3,-,0.9,78.8,0.7,1,6.58
2018,103,James Ward-Prowse,Southampton,25,  M(CR),21(5),1942,7,-,4,-,1.2,76.5,0.8,-,6.87
2019,90,James Ward-Prowse,Southampton,25,  M(CR),11,990,2,-,1,-,1.6,74.7,1.4,1,6.87
2014,191,Jamie Vardy,Leicester,32,  AM(L)FW,26(8),2247,5,8,5,-,1.4,64.3,1.9,2,6.8
2015,9,Jamie Vardy,Leicester,32,  AM(L)FW,36,3140,24,6,5,1,3.2,65.8,2.6,3,7.51
2016,144,Jamie Vardy,Leicester,32,  AM(L)FW,33(2),2810,13,5,2,1,1.5,62.5,2.6,3,6.83
2017,71,Jamie Vardy,Leicester,32,  AM(L)FW,37,3258,20,1,3,-,1.9,60.5,2.1,-,6.98
2018,82,Jamie Vardy,Leicester,32,  AM(L)FW,30(4),2733,18,4,3,1,2.3,65.6,2,3,6.94
2019,17,Jamie Vardy,Leicester,32,  AM(L)FW,11,990,10,1,1,-,2,70.6,1.7,2,7.39
2018,54,Jan Bednarek,Southampton,23,  D(C),24(1),2151,-,1,7,-,0.2,70.5,3.2,3,7.04
2019,207,Jan Bednarek,Southampton,23,  D(C),11,988,-,-,1,-,0.1,76.1,2.7,-,6.47
2014,96,Jan Vertonghen,Tottenham,32,  D(CL),31(1),2810,-,-,6,-,0.4,85.1,2.8,-,7.06
2015,77,Jan Vertonghen,Tottenham,32,  D(CL),29,2595,-,-,5,-,0.4,87.7,1.9,-,7.06
2016,25,Jan Vertonghen,Tottenham,32,  D(CL),33,2897,-,-,5,-,0.4,85.3,3.2,1,7.28
2017,22,Jan Vertonghen,Tottenham,32,  D(CL),36,3205,-,-,4,-,0.7,86.3,3.3,3,7.26
2018,93,Jan Vertonghen,Tottenham,32,  D(CL),22,1915,1,-,3,1,0.7,87.5,2.3,1,6.89
2018,47,Jannik Vestergaard,Southampton,27,  D(C),23,2030,-,-,2,-,0.6,76.9,3.7,-,7.07
2019,118,Jannik Vestergaard,Southampton,27,  D(C),10,845,1,-,1,-,0.8,79.3,2.9,-,6.78
2016,241,Jason Denayer,Sunderland,24,  D(CR)DMC,22(2),1880,-,-,2,-,0.3,80,1.1,-,6.54
2014,121,Jason Puncheon,Crystal Palace,33,  M(CLR),31(6),2825,6,7,7,1,1.8,76.4,0.4,2,6.99
2015,102,Jason Puncheon,Crystal Palace,33,  M(CLR),31,2625,2,3,3,-,1.7,80,0.4,1,6.98
2016,116,Jason Puncheon,Crystal Palace,33,  M(CLR),35(1),3096,-,5,9,-,1.3,81.2,0.7,1,6.9
2014,31,Jason Shackell,Burnley,36,  D(C),38,3347,-,-,3,-,0.2,77.8,4.4,3,7.26
2016,249,Javier Manquillo,Sunderland,25,  D(LR)M(R),15(5),1428,1,-,2,-,0.2,77.8,0.9,-,6.51
2017,258,Javier Manquillo,Newcastle United,25,  D(LR)M(R),20(1),1759,-,1,2,-,0.1,75,1,-,6.49
2016,254,Jay Rodriguez,Southampton,30,  AM(CLR)FW,9(15),885,5,2,-,-,1.4,67.1,1.7,2,6.5
2017,214,Jay Rodriguez,West Bromwich Albion,30,  AM(CLR)FW,31(6),2824,7,1,2,-,1.9,72.4,2.1,2,6.62
2019,239,Jay Rodriguez,Burnley,30,  AM(CLR)FW,3(8),412,2,-,1,-,0.8,63,1.1,-,6.27
2018,224,Jean Michael Seri,Fulham,28,  M(C),27(5),2252,1,2,6,-,0.6,87,0.4,-,6.55
2016,257,Jeff Hendrick,Burnley,27,  M(CR),31(1),2696,2,1,6,1,1,77.7,1.1,1,6.49
