Season,Nos,Name,Team,Age,Position,Appearances,Minutes,Goals,Assists,Yellows,Reds,SpG,Pass%,AerialsWon,MotM,Rating
2019,125,Bernd Leno,Arsenal,27,  GK,11,990,-,-,2,-,-,70.7,0.3,-,6.76
2015,195,Billy Jones,Sunderland,32,  D(CLR)M(R),23(1),2033,1,1,8,-,0.6,71.5,2.5,-,6.75
2016,128,Billy Jones,Sunderland,32,  D(CLR)M(R),25(2),2271,1,-,8,-,0.6,69.1,3.6,-,6.86
2019,243,Billy Sharp,Sheffield United,33,  FW,0(7),178,1,-,-,1,0.3,70.7,1,-,6.22
2019,160,Björn Engels,Aston Villa,25,  D(C),11,975,-,-,1,-,0.3,86.1,3.2,-,6.65
2015,252,Boaz Myhill,West Bromwich Albion,36,  GK,23,2070,-,-,2,-,-,41.9,0.2,-,6.57
2018,257,Bobby De Cordova-Reid,Cardiff,26,  M(CL)FW,16(11),1423,5,2,-,-,1,71.4,0.4,1,6.41
2014,273,Bobby Zamora,Queens Park Rangers,38,  FW,19(12),1783,3,4,4,-,0.9,64.9,1.9,-,6.49
2015,179,Bojan,Stoke,29,  AM(CLR)FW,22(5),1712,7,1,2,-,1.3,84.3,0.1,2,6.78
2014,237,Brad Guzan,Aston Villa,35,  GK,34,3060,-,-,2,-,-,54.7,0.3,2,6.64
2015,250,Brad Guzan,Aston Villa,35,  GK,28,2520,-,-,2,-,-,52,0.1,-,6.57
2014,34,Branislav Ivanovic,Chelsea,35,  D(CR),38,3420,4,5,10,1,1.2,81.2,2.6,1,7.25
2015,134,Branislav Ivanovic,Chelsea,35,  D(CR),33,2918,2,2,5,-,0.8,82.9,2.4,1,6.88
2014,288,Brown Ideye,West Bromwich Albion,31,  FW,13(11),1299,4,2,2,-,1.3,77,1.2,1,6.36
2017,189,Bruno,Brighton,39,  D(R)M(R),23(2),2018,-,-,3,-,0.1,82,1.1,-,6.7
2018,170,Bruno Ecuele Manga,Cardiff,31,  D(CR),37(1),3374,-,1,-,-,0.3,64.9,2.3,-,6.69
2016,132,Bruno Martins Indi,Stoke,27,  D(CL),35,3147,1,-,5,-,0.5,86.7,1.7,2,6.85
2019,27,Çaglar Söyüncü,Leicester,23,  D(C),11,990,1,1,2,-,0.5,87.3,3.6,-,7.25
2018,122,Callum Paterson,Cardiff,25,  D(R)M(CR)FW,21(6),1996,4,1,4,-,1.5,48.4,7.5,1,6.82
2019,228,Callum Robinson,Sheffield United,24,  AM(CLR)FW,8(1),543,1,-,-,-,1.3,86.5,0.2,-,6.33
2016,256,Callum Wilson,Bournemouth,27,  FW,16(4),1367,6,-,-,-,1.6,72.8,0.3,-,6.49
2017,241,Callum Wilson,Bournemouth,27,  FW,23(5),1991,8,2,-,-,1.9,70.5,0.8,2,6.53
2018,62,Callum Wilson,Bournemouth,27,  FW,29(1),2535,14,9,3,-,2.2,67.1,1.5,4,6.99
2019,119,Callum Wilson,Bournemouth,27,  FW,11,953,5,-,3,-,1.6,64.8,1.2,1,6.78
2014,120,Calum Chambers,Arsenal,24,  D(CR)DMC,17(6),1571,1,1,7,1,0.3,82.8,2,-,7
2016,68,Calum Chambers,Middlesbrough,24,  D(CR)DMC,24,2160,1,1,4,-,0.3,78,2.6,1,7.05
2018,123,Calum Chambers,Fulham,24,  D(CR)DMC,29(2),2587,2,-,9,-,1.1,79,2.1,-,6.82
2019,89,Calum Chambers,Arsenal,24,  D(CR)DMC,6(1),585,1,-,3,-,1.1,79.9,1.7,-,6.87
2015,293,Cameron Jerome,Norwich,33,  FW,19(15),1776,3,2,2,-,1.4,63.2,2.2,-,6.3
2014,234,Carl Jenkinson,West Ham,27,  D(R),29(3),2667,-,2,2,-,0.4,78.3,0.7,-,6.65
2015,288,Carl Jenkinson,West Ham,27,  D(R),13(7),1226,2,-,3,1,0.4,74.8,0.7,-,6.36
2015,261,Carles Gil,Aston Villa,26,  AM(CR),17(6),1442,2,-,3,-,0.7,87,-,-,6.54
2014,204,Carlos Sánchez,Aston Villa,33,  D(C)M(C),20(8),1987,1,-,6,1,0.6,83.1,2.2,-,6.74
2015,196,Carlos Sánchez,Aston Villa,33,  D(C)M(C),16(4),1371,-,-,3,-,0.7,80.6,1.4,-,6.74
2014,292,Carlton Cole,West Ham,36,  FW,8(15),908,2,-,2,-,0.7,58.1,2.3,-,6.28
2015,23,Cédric Soares,Southampton,28,  D(R)M(R),23(1),1971,-,2,3,-,0.4,68.8,0.8,1,7.27
2016,94,Cédric Soares,Southampton,28,  D(R)M(R),30,2520,-,3,7,-,0.7,74,0.9,1,6.96
2017,233,Cédric Soares,Southampton,28,  D(R)M(R),32,2797,-,3,3,-,0.7,73.3,1,-,6.57
2018,253,Cenk Tosun,Everton,28,  FW,10(15),1050,3,3,3,-,1.5,70.5,1.5,-,6.44
2014,35,César Azpilicueta,Chelsea,30,  D(CLR)M(R),29,2484,-,3,1,1,0.2,83.6,1.3,3,7.24
2015,91,César Azpilicueta,Chelsea,30,  D(CLR)M(R),36(1),3202,2,3,7,-,0.3,81.7,1.2,1,7.03
2016,38,César Azpilicueta,Chelsea,30,  D(CLR)M(R),38,3420,1,4,4,-,0.5,87.3,2.1,4,7.21
2017,29,César Azpilicueta,Chelsea,30,  D(CLR)M(R),37,3330,2,6,1,-,0.4,86.7,2.2,1,7.18
2018,59,César Azpilicueta,Chelsea,30,  D(CLR)M(R),38,3403,1,5,4,-,0.4,87,1.8,1,7.01
2019,69,César Azpilicueta,Chelsea,30,  D(CLR)M(R),11,990,-,2,-,-,0.2,77.6,2.6,-,6.97
2014,4,Cesc Fàbregas,Chelsea,32,  M(CL)FW,33(1),2890,3,18,11,1,1.3,85.2,0.8,3,7.62
2015,58,Cesc Fàbregas,Chelsea,32,  M(CL)FW,33(4),2899,5,7,5,-,1.2,84,0.6,2,7.14
2016,69,Cesc Fàbregas,Chelsea,32,  M(CL)FW,13(16),1328,5,12,8,-,0.9,84.5,0.3,3,7.05
2017,42,Cesc Fàbregas,Chelsea,32,  M(CL)FW,25(7),2309,2,4,4,1,1.2,83.5,0.3,3,7.1
2015,99,Chancel Mbemba,Newcastle United,25,  D(CL)DMC,33,2924,-,-,5,-,0.4,76.8,1.4,2,6.98
2014,286,Charles N'Zogbia,Aston Villa,33,  M(CR),19(8),1432,-,2,3,-,1,80.8,0.4,-,6.37
2014,149,Charlie Adam,Stoke,33,  M(C),15(14),1508,7,1,5,-,2.1,76.6,0.8,1,6.92
2015,270,Charlie Adam,Stoke,33,  M(C),12(10),1045,1,1,6,1,1.3,75.5,0.8,-,6.46
2016,184,Charlie Adam,Stoke,33,  M(C),17(7),1495,1,3,7,-,1.7,68.9,1.4,-,6.7
2014,126,Charlie Austin,Queens Park Rangers,30,  FW,35,3069,18,5,4,1,3.7,65.9,2.6,3,6.99
2017,246,Charlie Austin,Southampton,30,  FW,10(14),1030,7,-,2,-,2,68.4,1.7,1,6.53
2018,272,Charlie Austin,Southampton,30,  FW,11(14),981,2,2,1,-,1.3,58.6,1.7,-,6.27
2015,123,Charlie Daniels,Bournemouth,33,  D(L)M(L),37,3286,3,5,2,-,0.5,80.4,0.7,1,6.9
2016,107,Charlie Daniels,Bournemouth,33,  D(L)M(L),34,3060,4,3,1,-,0.6,81.7,1,1,6.93
2017,204,Charlie Daniels,Bournemouth,33,  D(L)M(L),34(1),3005,1,3,-,-,0.6,78.7,1.3,-,6.64
2018,250,Charlie Daniels,Bournemouth,33,  D(L)M(L),17(4),1586,1,-,4,-,0.6,78.7,1.4,-,6.45
2018,143,Charlie Taylor,Burnley,26,  D(L)M(L),35(3),3240,-,1,2,-,0.2,72.5,1.9,-,6.75
2019,237,Che Adams,Southampton,23,  AM(CL)FW,6(2),461,-,-,-,-,1.6,64,1.5,-,6.29
2015,137,Cheick Tioté,Newcastle United,33,  M(C),16(4),1228,-,-,5,-,0.1,85.5,1.8,-,6.87
2014,50,Cheikhou Kouyaté,West Ham,29,  D(CR)DMC,30(1),2662,4,2,5,-,1.1,79,3.2,4,7.19
2015,24,Cheikhou Kouyaté,West Ham,29,  D(CR)DMC,34,3010,5,2,5,1,1.3,79.6,2.6,1,7.26
2016,74,Cheikhou Kouyaté,West Ham,29,  D(CR)DMC,31,2728,1,-,3,-,0.7,83.4,2.5,1,7.04
2017,136,Cheikhou Kouyaté,West Ham,29,  D(CR)DMC,32(1),2803,2,3,5,-,0.7,76,3.7,2,6.8
