Season,Number,Player,Team,Apps,Min,Goals,Assists,xG,xGdiff,xA,xAdiff,xG90,xA90
2014,145,Craig Dawson,West Bromwich Albion,29,2593,2,0,1.77,-0.23,0.31,0.31,0.06,0.01
2014,111,Craig Gardner,West Bromwich Albion,35,2697,3,4,3.34,0.34,3.34,-0.66,0.11,0.11
2014,346,Cristian Gamboa,West Bromwich Albion,10,223,0,1,0.03,0.03,0.23,-0.77,0.01,0.09
2014,425,Curtis Davies,Hull,21,1823,0,0,1.42,1.42,0.14,0.14,0.07,0.01
2014,127,Daley Blind,Manchester United,25,2174,2,2,1,-1,1.45,-0.55,0.04,0.06
2014,58,Dame N'Doye,Hull,15,1195,5,1,5.47,0.47,1.08,0.08,0.41,0.08
2014,262,Damien Delaney,Crystal Palace,29,2430,0,0,0.74,0.74,0.74,0.74,0.03,0.03
2014,328,Daniel Drinkwater,Leicester,23,1476,0,0,0.53,0.53,0.72,0.72,0.03,0.04
2014,476,Daniel Lafferty,Burnley,1,14,0,0,0,,0,,0,0
2014,69,Daniel Sturridge,Liverpool,12,747,4,1,4.52,0.52,1.52,0.52,0.54,0.18
2014,215,Danny Graham,Sunderland,14,620,1,0,1.11,0.11,0.18,0.18,0.16,0.03
2014,18,Danny Ings,Burnley,35,3048,11,4,12.29,1.29,4.24,0.24,0.36,0.13
2014,102,Danny Rose,Tottenham,28,2386,3,4,1.67,-1.33,2.91,-1.09,0.06,0.11
2014,327,Danny Simpson,"Leicester, Queens Park Rangers",15,1257,0,0,0.04,0.04,0.47,0.47,0,0.03
2014,71,Danny Welbeck,"Arsenal, Manchester United",27,1714,4,3,7.27,3.27,2.89,-0.11,0.38,0.15
2014,456,Darnell Furlong,Queens Park Rangers,3,228,0,0,0.01,0.01,0,,0,0
2014,524,Darren Bent,Aston Villa,7,70,0,0,0.06,0.06,0.01,0.01,0.07,0.01
2014,205,Darren Fletcher,"Manchester United, West Bromwich Albion",26,1711,1,0,0.45,-0.55,0.88,0.88,0.02,0.05
2014,371,Darron Gibson,Everton,9,406,0,0,0.29,0.29,0.02,0.02,0.06,0
2014,198,Daryl Janmaat,Newcastle United,37,3263,1,6,1.41,0.41,2.94,-3.06,0.04,0.08
2014,270,David de Gea,Manchester United,37,3315,0,0,0,,0,,0,0
2014,439,David Jones,Burnley,36,3218,0,0,1.56,1.56,2.01,2.01,0.04,0.06
2014,229,David Meyler,Hull,28,1728,1,1,0.91,-0.09,0.97,-0.03,0.05,0.05
2014,66,David Nugent,Leicester,29,1685,5,2,6.23,1.23,1.89,-0.11,0.33,0.1
2014,258,David Ospina,Arsenal,18,1620,0,0,0,,0.05,0.05,0,0
2014,10,David Silva,Manchester City,32,2682,12,7,9.1,-2.9,10.39,3.39,0.31,0.35
2014,407,Dean Hammond,Leicester,12,783,0,0,0.18,0.18,0.14,0.14,0.02,0.02
2014,420,Dean Marney,Burnley,20,1690,0,0,0.32,0.32,0.59,0.59,0.02,0.03
2014,321,DeAndre Yedlin,Tottenham,1,9,0,0,0,,0,,0,0
2014,503,Dedryck Boyata,Manchester City,2,91,0,0,0,,0,,0,0
2014,282,Dejan Lovren,Liverpool,26,2032,0,0,0.89,0.89,0.07,0.07,0.04,0
2014,21,Diafra Sakho,West Ham,23,1765,10,2,9.07,-0.93,2.62,0.62,0.46,0.13
2014,93,Didier Drogba,Chelsea,28,831,4,1,2.73,-1.27,1.53,0.53,0.3,0.17
2014,3,Diego Costa,Chelsea,26,2111,20,3,15.22,-4.78,4.55,1.55,0.65,0.19
2014,409,Diego Poyet,West Ham,3,87,0,0,0,,0.01,0.01,0,0.02
2014,354,Dionatan Teixeira,Stoke,1,1,0,0,0,,0,,0,0
2014,491,Dominic Gape,Southampton,1,1,0,0,0,,0,,0,0
2014,86,Dusan Tadic,Southampton,31,2072,4,7,5.63,1.63,9,2,0.24,0.39
2014,59,Dwight Gayle,Crystal Palace,25,1069,5,1,5.16,0.16,0.77,-0.23,0.43,0.06
