Season,Number,Player,Team,Apps,Min,Goals,Assists,xG,xGdiff,xA,xAdiff,xG90,xA90
2016,253,Stewart Downing,Middlesbrough,30,2214,1,3,2.14,1.14,2.29,-0.71,0.09,0.09
2016,442,Sullay Kaikai,Crystal Palace,1,21,0,0,0,,0,,0,0
2016,19,Theo Walcott,Arsenal,28,1944,10,2,9.9,-0.1,2.53,0.53,0.46,0.12
2016,352,Thibaut Courtois,Chelsea,36,3240,0,0,0,,0,,0,0
2016,311,Timothy Fosu-Mensah,Manchester United,4,95,0,0,0.03,0.03,0,,0.03,0
2016,193,Toby Alderweireld,Tottenham,30,2610,1,0,2,1,0.33,0.33,0.07,0.01
2016,197,Tom Carroll,"Swansea, Tottenham",18,1395,1,2,0.29,-0.71,1.55,-0.45,0.02,0.1
2016,329,Tom Cleverley,"Everton, Watford",27,1839,0,2,0.74,0.74,1.71,-0.29,0.04,0.08
2016,152,Tom Davies,Everton,24,1540,2,3,1.4,-0.6,1.97,-1.03,0.08,0.11
2016,446,Tom Heaton,Burnley,35,3150,0,0,0,,0.14,0.14,0,0
2016,248,Tom Huddlestone,Hull,31,2025,1,0,1.23,0.23,1.1,1.1,0.05,0.05
2016,502,Trent Alexander-Arnold,Liverpool,7,165,0,0,0.2,0.2,0.03,0.03,0.11,0.02
2016,20,Troy Deeney,Watford,37,2940,10,4,8.59,-1.41,3.11,-0.89,0.26,0.1
2016,433,Tyrone Mings,Bournemouth,7,511,0,0,0.03,0.03,0.26,0.26,0.01,0.05
2016,318,Valon Behrami,Watford,27,2056,0,0,0.19,0.19,0.42,0.42,0.01,0.02
2016,110,Victor Anichebe,Sunderland,18,1212,3,0,2.43,-0.57,0.72,0.72,0.18,0.05
2016,103,Victor Moses,Chelsea,34,2519,3,2,4.05,1.05,2.63,0.63,0.14,0.09
2016,467,Víctor Valdés,Middlesbrough,28,2520,0,0,0,,0,,0,0
2016,84,Victor Wanyama,Tottenham,36,3021,4,1,4.79,0.79,2.04,1.04,0.14,0.06
2016,471,Viktor Fischer,Middlesbrough,13,434,0,3,0.82,0.82,1.55,-1.45,0.17,0.32
2016,163,Vincent Janssen,Tottenham,27,815,2,2,4.42,2.42,1.25,-0.75,0.49,0.14
2016,106,Vincent Kompany,Manchester City,11,826,3,0,0.69,-2.31,0.57,0.57,0.08,0.06
2016,223,Virgil van Dijk,Southampton,21,1857,1,0,1.37,0.37,0.48,0.48,0.07,0.02
2016,369,Vito Mannone,Sunderland,9,810,0,0,0,,0,,0,0
2016,209,Wahbi Khazri,Sunderland,21,824,1,0,1.14,0.14,1.92,1.92,0.12,0.21
2016,295,Wayne Hennessey,Crystal Palace,29,2610,0,0,0,,0.09,0.09,0,0
2016,64,Wayne Rooney,Manchester United,25,1538,5,5,7.07,2.07,3.01,-1.99,0.41,0.18
2016,107,Wayne Routledge,Swansea,27,1957,3,1,3.78,0.78,2.05,1.05,0.17,0.09
2016,211,Wes Morgan,Leicester,27,2430,1,0,1.87,0.87,0.13,0.13,0.07,0
2016,166,Wilfred Ndidi,Leicester,17,1523,2,1,1.85,-0.15,0.98,-0.02,0.11,0.06
2016,135,Wilfried Bony,Stoke,10,702,2,0,2.46,0.46,0.84,0.84,0.32,0.11
2016,36,Wilfried Zaha,Crystal Palace,35,3033,7,9,5.57,-1.43,4.54,-4.46,0.17,0.13
2016,438,Will Keane,Hull,5,282,0,0,0.24,0.24,0.14,0.14,0.08,0.04
2016,31,Willian,Chelsea,34,1509,8,2,3.76,-4.24,3.06,1.06,0.22,0.18
2016,337,Willy Caballero,Manchester City,17,1450,0,0,0,,0,,0,0
2016,128,Winston Reid,West Ham,30,2595,2,2,0.81,-1.19,0.94,-1.06,0.03,0.03
2016,87,Xherdan Shaqiri,Stoke,21,1721,4,2,2.62,-1.38,4.27,2.27,0.14,0.22
2016,172,Yannick Bolasie,"Crystal Palace, Everton",14,1056,1,4,1.22,0.22,4.77,0.77,0.1,0.41
2016,70,Yaya Touré,Manchester City,25,1955,5,0,3.7,-1.3,1.12,1.12,0.17,0.05
2016,427,Yohan Benalouane,Leicester,11,925,0,0,0.36,0.36,0.07,0.07,0.03,0.01
2016,76,Yohan Cabaye,Crystal Palace,32,2138,4,3,3.43,-0.57,2.89,-0.11,0.14,0.12
2016,139,Younes Kaboul,"Sunderland, Watford",23,1919,2,0,1.42,-0.58,0.07,0.07,0.07,0
2016,7,Zlatan Ibrahimovic,Manchester United,28,2435,17,5,14.64,-2.36,5.12,0.12,0.54,0.19
2017,185,Aaron Cresswell,West Ham,36,3081,1,7,0.67,-0.33,3.32,-3.68,0.02,0.1
2017,300,Aaron Lennon,"Burnley, Everton",29,1933,0,2,0.67,0.67,1.24,-0.76,0.03,0.06
2017,87,Aaron Mooy,Huddersfield,36,3077,4,3,2.86,-1.14,4.15,1.15,0.08,0.12
2017,40,Aaron Ramsey,Arsenal,24,1849,7,8,6.84,-0.16,5.92,-2.08,0.33,0.29
2017,457,Aaron Wan-Bissaka,Crystal Palace,7,630,0,0,0,,0.22,0.22,0,0.03
2017,486,Abdelhamid Sabiri,Huddersfield,5,215,0,1,0.24,0.24,0.15,-0.85,0.1,0.06
2017,47,Abdoulaye Doucouré,Watford,37,3326,7,3,3.11,-3.89,2.39,-0.61,0.08,0.06
2017,258,Adam Lallana,Liverpool,12,223,0,0,1.55,1.55,0.41,0.41,0.62,0.16
2017,212,Adam Smith,Bournemouth,27,2067,1,3,0.43,-0.57,1.47,-1.53,0.02,0.06
2017,451,Ademola Lookman,Everton,7,145,0,0,0.14,0.14,0.01,0.01,0.09,0
2017,276,Adrián,West Ham,19,1710,0,0,0,,0,,0,0
2017,273,Adrian Mariappa,Watford,28,2208,0,0,0.62,0.62,0.14,0.14,0.03,0.01
2017,502,Adrien Silva,Leicester,12,765,0,1,0.24,0.24,0.89,-0.11,0.03,0.1
2017,169,Ahmed Hegazy,West Bromwich Albion,38,3389,2,0,2.32,0.32,0.42,0.42,0.06,0.01
2017,417,Ainsley Maitland-Niles,Arsenal,15,908,0,0,0.2,0.2,0.98,0.98,0.02,0.1
2017,304,Alberto Moreno,Liverpool,16,1262,0,0,0.49,0.49,0.89,0.89,0.03,0.06
2017,444,Aleksandar Dragovic,Leicester,11,765,0,0,0.11,0.11,0,,0.01,0
2017,205,Aleksandar Mitrovic,Newcastle United,6,73,1,0,1.23,0.23,0.27,0.27,1.51,0.34
2017,90,Alex Iwobi,Arsenal,26,1873,3,5,4.13,1.13,3.49,-1.51,0.2,0.17
2017,309,Alex McCarthy,Southampton,18,1620,0,0,0,,0,,0,0
2017,109,Alex Oxlade-Chamberlain,"Arsenal, Liverpool",35,1705,3,7,2.6,-0.4,4.97,-2.03,0.14,0.26
2017,211,Alex Pritchard,Huddersfield,14,1006,1,1,1.15,0.15,2.11,1.11,0.1,0.19
2017,507,Alexander Sørloth,Crystal Palace,4,360,0,0,0.59,0.59,0.39,0.39,0.15,0.1
2017,8,Alexandre Lacazette,Arsenal,32,2235,14,4,13.83,-0.17,4.84,0.84,0.56,0.19
2017,23,Alexis Sánchez,"Arsenal, Manchester United",31,2562,9,6,11.42,2.42,7.92,1.92,0.4,0.28
2017,157,Alfie Mawson,Swansea,38,3420,2,1,2.51,0.51,0.56,-0.44,0.07,0.01
2017,15,Álvaro Morata,Chelsea,31,2069,11,6,13.9,2.9,3.58,-2.42,0.6,0.16
2017,285,Ander Herrera,Manchester United,26,1249,0,2,0.41,0.41,1.42,-0.58,0.03,0.1
2017,102,André Ayew,"Swansea, West Ham",30,1859,3,4,4.75,1.75,1.51,-2.49,0.23,0.07
2017,248,André Carrillo,Watford,28,1533,1,2,1.99,0.99,2.93,0.93,0.12,0.17
2017,69,Andre Gray,Watford,31,1486,5,2,7,2,2.32,0.32,0.42,0.14
2017,251,Andreas Christensen,Chelsea,27,2080,0,0,1,1,0.13,0.13,0.04,0.01
2017,231,Andrew Robertson,Liverpool,22,1949,1,5,0.63,-0.37,4.77,-0.23,0.03,0.22
2017,118,Andrew Surman,Bournemouth,25,1842,2,5,0.99,-1.01,1.53,-3.47,0.05,0.07
2017,143,Andros Townsend,Crystal Palace,36,3141,2,7,3.11,1.11,8.64,1.64,0.09,0.25
2017,95,Andy Carroll,West Ham,16,739,3,0,1.57,-1.43,0.53,0.53,0.19,0.06
2017,106,Andy King,"Leicester, Swansea",22,1264,3,0,1.56,-1.44,0.26,0.26,0.11,0.02
2017,328,Angel Rangel,Swansea,4,154,0,0,0,,0.12,0.12,0,0.07
2017,184,Angelo Ogbonna,West Ham,32,2880,1,0,0.77,-0.23,0.45,0.45,0.02,0.01
2017,114,Anthony Knockaert,Brighton,33,2433,3,1,4.25,1.25,3.08,2.08,0.16,0.11
2017,25,Anthony Martial,Manchester United,30,1589,9,5,6.3,-2.7,5.44,0.44,0.36,0.31
2017,165,Antonio Rüdiger,Chelsea,27,2337,2,1,2.07,0.07,0.5,-0.5,0.08,0.02
2017,101,Antonio Valencia,Manchester United,31,2746,3,1,0.54,-2.46,1.46,0.46,0.02,0.05
2017,419,Arthur Masuaku,West Ham,27,1864,0,3,0.2,0.2,2.03,-0.97,0.01,0.1
2017,28,Ashley Barnes,Burnley,36,2143,9,0,6.56,-2.44,1.5,1.5,0.28,0.06
2017,322,Ashley Westwood,Burnley,19,1099,0,1,0.71,0.71,0.81,-0.19,0.06,0.07
2017,197,Ashley Williams,Everton,24,1840,1,0,0.79,-0.21,0.15,0.15,0.04,0.01
2017,131,Ashley Young,Manchester United,30,2451,2,4,0.71,-1.29,3.75,-0.25,0.03,0.14
2017,324,Asmir Begovic,Bournemouth,38,3420,0,0,0,,0.04,0.04,0,0
2017,377,Axel Tuanzebe,Manchester United,1,1,0,0,0,,0,,0,0
2017,429,Aymeric Laporte,Manchester City,9,808,0,0,0.08,0.08,0.14,0.14,0.01,0.02
2017,35,Ayoze Pérez,Newcastle United,36,2502,8,5,6.86,-1.14,5.45,0.45,0.25,0.2
2017,174,Badou Ndiaye,Stoke,13,1144,2,1,1.15,-0.85,0.31,-0.69,0.09,0.02
2017,92,Bakary Sako,Crystal Palace,16,446,3,0,2.27,-0.73,0.77,0.77,0.46,0.16
2017,342,Ben Chilwell,Leicester,24,1855,0,2,0.22,0.22,2.61,0.61,0.01,0.13
2017,134,Ben Davies,Tottenham,29,2328,2,6,1.02,-0.98,3.74,-2.26,0.04,0.14
2017,345,Ben Foster,West Bromwich Albion,37,3330,0,0,0,,0.05,0.05,0,0
2017,418,Ben Hamer,Leicester,4,272,0,0,0,,0,,0,0
2017,400,Ben Mee,Burnley,29,2610,0,0,1.66,1.66,0.23,0.23,0.06,0.01
2017,292,Ben Watson,Watford,8,463,0,0,0.04,0.04,0.18,0.18,0.01,0.04
2017,452,Ben Woodburn,Liverpool,1,5,0,0,0,,0,,0,0
2017,493,Beni Baningime,Everton,8,185,0,0,0,,0,,0,0
2017,350,Benik Afobe,Bournemouth,17,524,0,0,1.45,1.45,0.11,0.11,0.25,0.02
2017,433,Benjamin Mendy,Manchester City,7,357,0,1,0.12,0.12,0.96,-0.04,0.03,0.24
2017,495,Beram Kayal,Brighton,19,731,0,0,0.34,0.34,0.45,0.45,0.04,0.06
2017,55,Bernardo Silva,Manchester City,35,1500,6,4,4.53,-1.47,3.06,-0.94,0.27,0.18
2017,349,Boaz Myhill,West Bromwich Albion,1,90,0,0,0,,0,,0,0
2017,366,Bojan,Stoke,1,73,0,0,0.03,0.03,0.02,0.02,0.03,0.03
2017,498,Brahim Diaz,Manchester City,5,40,0,0,0.49,0.49,0,,1.11,0
2017,473,Bruno,Brighton,25,2022,0,0,0.06,0.06,0.6,0.6,0,0.03
2017,414,Bruno Martins Indi,Stoke,17,1248,0,0,0.39,0.39,0.05,0.05,0.03,0
2017,500,Callum Hudson-Odoi,Chelsea,2,25,0,0,0.1,0.1,0,,0.38,0
2017,32,Callum Wilson,Bournemouth,28,2007,8,2,7.62,-0.38,1.55,-0.45,0.34,0.07
2017,265,Calum Chambers,Arsenal,12,875,0,0,1.56,1.56,0.1,0.1,0.16,0.01
2017,357,Cédric Soares,Southampton,32,2800,0,3,0.67,0.67,3.48,0.48,0.02,0.11
2017,74,Cenk Tosun,Everton,14,998,5,0,3.19,-1.81,1.72,1.72,0.29,0.16
2017,136,César Azpilicueta,Chelsea,37,3330,2,6,1.38,-0.62,4.65,-1.35,0.04,0.13
2017,137,Cesc Fàbregas,Chelsea,32,2314,2,4,2.52,0.52,6.85,2.85,0.1,0.27
2017,358,Chancel Mbemba,Newcastle United,9,673,0,0,0,,0.6,0.6,0,0.08
2017,367,Charlie Adam,Stoke,11,402,0,0,1.28,1.28,1.53,1.53,0.29,0.34
2017,45,Charlie Austin,Southampton,24,1023,7,0,7.72,0.72,0.69,0.69,0.68,0.06
2017,179,Charlie Daniels,Bournemouth,35,3012,1,3,0.57,-0.43,2.48,-0.52,0.02,0.07
2017,471,Charlie Taylor,Burnley,11,950,0,0,0,,0.16,0.16,0,0.01
2017,424,Charly Musonda,Chelsea,3,32,0,1,0.11,0.11,0.54,-0.46,0.31,1.52
2017,125,Cheikhou Kouyaté,West Ham,33,2803,2,3,1.8,-0.2,0.88,-2.12,0.06,0.03
2017,29,Chicharito,West Ham,28,1524,8,0,5.25,-2.75,1.42,1.42,0.31,0.08
2017,374,Chris Brunt,West Bromwich Albion,26,1931,0,7,0.83,0.83,4.72,-2.28,0.04,0.22
2017,465,Chris Löwe,Huddersfield,23,1598,0,0,0.35,0.35,0.37,0.37,0.02,0.02
2017,79,Chris Smalling,Manchester United,29,2533,4,0,2.17,-1.83,0.18,0.18,0.08,0.01
2017,21,Chris Wood,Burnley,24,1639,10,1,7.64,-2.36,0.6,-0.4,0.42,0.03
2017,166,Christian Atsu,Newcastle United,28,1777,2,2,3.97,1.97,2.78,0.78,0.2,0.14
2017,99,Christian Benteke,Crystal Palace,31,2224,3,5,11.1,7+8.17,3.28,-1.72,0.45,0.13
2017,19,Christian Eriksen,Tottenham,37,3239,10,10,7.25,-2.75,11.89,1.89,0.2,0.33
2017,337,Christian Fuchs,Leicester,25,1917,0,1,0.58,0.58,0.98,-0.02,0.03,0.05
2017,156,Christian Kabasele,Watford,28,2330,2,0,0.78,-1.22,0.13,0.13,0.03,0.01
2017,464,Christopher Schindler,Huddersfield,37,3269,0,1,0.76,0.76,2.45,1.45,0.02,0.07
2017,148,Ciaran Clark,Newcastle United,20,1744,2,1,2.17,0.17,0.95,-0.05,0.11,0.05
2017,409,Claudio Bravo,Manchester City,3,225,0,0,0,,0,,0,0
2017,347,Claudio Yacob,West Bromwich Albion,16,895,0,0,0.3,0.3,0.02,0.02,0.03,0
2017,467,Collin Quaner,Huddersfield,26,1255,0,4,1.35,1.35,2.53,-1.47,0.1,0.18
2017,487,Connor Goldson,Brighton,3,198,0,0,0.26,0.26,0,,0.12,0
2017,456,Connor Roberts,Swansea,4,268,0,0,0,,0,,0,0
2017,294,Craig Cathcart,Watford,7,496,0,0,0.16,0.16,0,,0.03,0
2017,144,Craig Dawson,West Bromwich Albion,28,2512,2,0,2.26,0.26,0.94,0.94,0.08,0.03
2017,353,Cuco Martina,Everton,21,1830,0,2,0.09,0.09,1.52,-0.48,0,0.07
2017,476,Dale Stephens,Brighton,36,3240,0,3,0.77,0.77,2.11,-0.89,0.02,0.06
2017,281,Daley Blind,Manchester United,7,361,0,0,0.12,0.12,0.41,0.41,0.03,0.1
2017,268,Damien Delaney,Crystal Palace,2,94,0,0,0,,0,,0,0
2017,119,Dan Gosling,Bournemouth,28,1940,2,1,2.27,0.27,0.95,-0.05,0.11,0.04
2017,339,Daniel Amartey,Leicester,8,487,0,0,0,,0,,0,0
2017,200,Daniel Drinkwater,Chelsea,12,519,1,0,0.18,-0.82,0.27,0.27,0.03,0.05
2017,122,Daniel Sturridge,"Liverpool, West Bromwich Albion",15,539,2,1,2.66,0.66,0.89,-0.11,0.44,0.15
2017,113,Danilo,Manchester City,23,1338,3,2,1.25,-1.75,0.19,-1.81,0.08,0.01
2017,219,Danny Ings,Liverpool,8,263,1,0,1.55,0.55,0.18,0.18,0.53,0.06
2017,314,Danny Rose,Tottenham,10,805,0,1,0.65,0.65,0.55,-0.45,0.07,0.06
2017,335,Danny Simpson,Leicester,28,2325,0,0,0.13,0.13,0.15,0.15,0.01,0.01
2017,60,Danny Welbeck,Arsenal,28,1169,5,2,5.72,0.72,1.37,-0.63,0.44,0.11
2017,468,Danny Williams,Huddersfield,20,1108,0,0,0.3,0.3,0.24,0.24,0.02,0.02
2017,209,Darren Fletcher,Stoke,27,2234,1,1,0.29,-0.71,1.69,0.69,0.01,0.07
2017,104,Daryl Janmaat,Watford,23,1823,3,0,1.65,-1.35,0.99,0.99,0.08,0.05
2017,280,David de Gea,Manchester United,37,3330,0,0,0,,0.03,0.03,0,0
2017,228,David Luiz,Chelsea,10,840,1,0,0.76,-0.24,0.03,0.03,0.08,0
2017,264,David Ospina,Arsenal,5,378,0,0,0,,0,,0,0
2017,26,David Silva,Manchester City,29,2442,9,11,9.24,0.24,8.83,-2.17,0.34,0.33
2017,224,Davide Zappacosta,Chelsea,22,1092,1,1,1.57,0.57,1.3,0.3,0.13,0.11
2017,483,Davinson Sánchez,Tottenham,31,2535,0,0,0.57,0.57,0.13,0.13,0.02,0
2017,472,Davy Klaassen,Everton,7,246,0,0,0.05,0.05,0.1,0.1,0.02,0.04
2017,475,Davy Pröpper,Brighton,35,3122,0,4,1.79,1.79,1.43,-2.57,0.05,0.04
2017,490,Dean Whitehead,Huddersfield,4,63,0,0,0,,0,,0,0
2017,331,DeAndre Yedlin,Newcastle United,34,2838,0,2,0.14,0.14,2.1,0.1,0,0.07
2017,450,Declan Rice,West Ham,26,1419,0,0,0.23,0.23,0.09,0.09,0.01,0.01
2017,129,Dejan Lovren,Liverpool,29,2121,2,1,2.01,0.01,1.33,0.33,0.09,0.06
2017,27,Dele Alli,Tottenham,36,2991,9,10,10.1,1.1,8.84,-1.16,0.3,0.27
2017,103,Demarai Gray,Leicester,35,1680,3,1,2.64,-0.36,3.25,2.25,0.14,0.17
2017,133,Diafra Sakho,West Ham,14,264,2,0,1.75,-0.25,0.03,0.03,0.59,0.01
2017,257,Divock Origi,Liverpool,1,5,0,0,0,,0,,0,0
2017,459,Dodi Lukebakio,Watford,1,14,0,0,0.02,0.02,0.08,0.08,0.12,0.52
2017,86,Dominic Calvert-Lewin,Everton,32,1861,4,6,5.44,1.44,3.07,-2.93,0.26,0.15
2017,229,Dominic Solanke,Liverpool,21,552,1,1,3.67,2.67,2.53,1.53,0.6,0.41
2017,52,Dusan Tadic,Southampton,36,2854,6,3,5.66,-0.34,6.16,3.16,0.18,0.19
2017,50,Dwight Gayle,Newcastle United,35,1968,6,3,9.67,3.67,2.39,-0.61,0.44,0.11
2017,515,Dwight McNeil,Burnley,1,1,0,0,0,,0,,0,0
2017,503,Eddie Nketiah,Arsenal,3,11,0,0,0.08,0.08,0,,0.67,0
2017,11,Eden Hazard,Chelsea,34,2451,12,4,8.21,-3.79,7.3,3.3,0.3,0.27
2017,478,Ederson,Manchester City,36,3195,0,0,0,,0.03,0.03,0,0
2017,403,Edimilson Fernandes,West Ham,14,856,0,1,0.23,0.23,0.35,-0.65,0.02,0.04
2017,405,Eldin Jakupovic,Leicester,2,180,0,0,0,,0,,0,0
2017,308,Eliaquim Mangala,"Everton, Manchester City",11,605,0,0,0.18,0.18,0.02,0.02,0.03,0
2017,176,Elias Kachunga,Huddersfield,19,1350,1,1,1.84,0.84,0.63,-0.37,0.12,0.04
2017,395,Emerson,Chelsea,5,277,0,1,0.19,0.19,0.03,-0.97,0.06,0.01
2017,501,Emerson Hyndman,Bournemouth,1,60,0,0,0,,0.02,0.02,0,0.03
2017,98,Emre Can,Liverpool,26,2099,3,4,1.51,-1.49,3.05,-0.95,0.06,0.13
2017,234,Eric Bailly,Manchester United,13,998,1,0,1.05,0.05,0.2,0.2,0.09,0.02
2017,316,Eric Dier,Tottenham,34,2832,0,2,1.48,1.48,1.85,-0.15,0.05,0.06
2017,57,Eric Maxim Choupo-Moting,Stoke,30,2257,5,5,6.29,1.29,3.23,-1.77,0.25,0.13
2017,132,Erik Lamela,Tottenham,25,822,2,2,3.58,1.58,1.85,-0.15,0.39,0.2
2017,371,Erik Pieters,Stoke,31,2726,0,1,0.09,0.09,1.98,0.98,0,0.07
2017,492,Ethan Ampadu,Chelsea,1,9,0,0,0,,0,,0,0
2017,187,Etienne Capoue,Watford,23,1544,1,0,0.98,-0.02,0.79,0.79,0.06,0.05
2017,437,Ezequiel Schelotto,Brighton,20,1314,0,0,0.22,0.22,0.56,0.56,0.01,0.04
2017,215,Fabian Delph,Manchester City,22,1747,1,2,0.2,-0.8,1.31,-0.69,0.01,0.07
2017,196,Federico Fernández,Swansea,30,2678,1,1,1.06,0.06,0.76,-0.24,0.04,0.03
2017,63,Fernandinho,Manchester City,34,2890,5,3,2.47,-2.53,2.84,-0.16,0.08,0.09
2017,233,Fernando Llorente,Tottenham,16,206,1,0,1.17,0.17,0.13,0.13,0.51,0.06
2017,443,Florent Hadergjonaj,Huddersfield,23,1675,0,1,0.56,0.56,1.29,0.29,0.03,0.07
2017,442,Florian Lejeune,Newcastle United,24,2103,0,2,0.33,0.33,1.54,-0.46,0.01,0.07
2017,460,Fousseni Diabate,Leicester,14,575,0,1,0.59,0.59,0.39,-0.61,0.09,0.06
2017,263,Francis Coquelin,Arsenal,7,155,0,0,0.08,0.08,0.51,0.51,0.05,0.3
2017,352,Fraser Forster,Southampton,20,1800,0,0,0,,0,,0,0
2017,421,Freddie Ladapo,Crystal Palace,1,15,0,0,0,,0,,0,0
2017,9,Gabriel Jesus,Manchester City,29,1692,13,3,15.37,2.37,2.31,-0.69,0.82,0.12
2017,482,Gaëtan Bong,Brighton,25,2243,0,0,0.05,0.05,0.53,0.53,0,0.02
2017,188,Gareth Barry,West Bromwich Albion,25,1935,1,1,1.36,0.36,1.42,0.42,0.06,0.07
2017,346,Gareth McAuley,West Bromwich Albion,9,454,0,0,0,,0,,0,0
2017,325,Gary Cahill,Chelsea,27,2075,0,0,0.46,0.46,0.08,0.08,0.02,0
2017,362,Geoff Cameron,Stoke,20,1526,0,0,0.19,0.19,0.1,0.1,0.01,0.01
2017,407,Georges-Kévin Nkoudou,"Burnley, Tottenham",9,217,0,0,0.09,0.09,0.05,0.05,0.04,0.02
2017,203,Georginio Wijnaldum,Liverpool,33,2392,1,2,2.99,1.99,1.64,-0.36,0.11,0.06
2017,189,Gerard Deulofeu,Watford,7,443,1,0,0.56,-0.44,0.59,0.59,0.11,0.12
2017,379,Glen Johnson,Stoke,9,558,0,0,0.09,0.09,0.19,0.19,0.01,0.03
2017,13,Glenn Murray,Brighton,35,2204,12,0,12.38,0.38,1.24,1.24,0.51,0.05
2017,175,Granit Xhaka,Arsenal,38,3274,1,7,2.18,1.18,2.86,-4.14,0.06,0.08
2017,428,Grzegorz Krychowiak,West Bromwich Albion,27,1644,0,2,0.47,0.47,1.72,-0.28,0.03,0.09
2017,434,Guido Carrillo,Southampton,7,453,0,1,0.54,0.54,0.31,-0.69,0.11,0.06
2017,82,Gylfi Sigurdsson,Everton,27,2265,4,3,3.19,-0.81,3.75,0.75,0.13,0.15
2017,161,Hal Robson-Kanu,West Bromwich Albion,21,811,2,0,1.9,-0.1,0.41,0.41,0.21,0.05
2017,497,Hamza Choudhury,Leicester,8,376,0,1,0.04,0.04,0.22,-0.78,0.01,0.05
2017,216,Harry Arter,Bournemouth,13,961,1,0,0.3,-0.7,0.21,0.21,0.03,0.02
2017,2,Harry Kane,Tottenham,37,3094,30,2,26.86,-3.14,3.82,1.82,0.78,0.11
2017,154,Harry Maguire,Leicester,38,3420,2,4,2.31,0.31,4.56,0.56,0.06,0.12
2017,382,Harry Winks,Tottenham,16,771,0,1,0.05,0.05,0.57,-0.43,0.01,0.07
2017,513,Harvey Barnes,Leicester,3,5,0,0,0.05,0.05,0,,0.98,0
2017,123,Héctor Bellerín,Arsenal,35,3051,2,3,2.47,0.47,4.65,1.65,0.07,0.14
2017,206,Henri Saivet,Newcastle United,1,86,1,0,0.04,-0.96,0,,0.04,0
2017,88,Henrikh Mkhitaryan,"Arsenal, Manchester United",26,1735,3,9,2.47,-0.53,6.77,-2.23,0.13,0.35
2017,288,Heurelho Gomes,Watford,24,2130,0,0,0,,0,,0,0
2017,310,Hugo Lloris,Tottenham,36,3240,0,0,0,,0,,0,0
2017,364,Ibrahim Afellay,Stoke,6,157,0,0,0,,0,,0,0
2017,135,Idrissa Gueye,Everton,33,2769,2,1,1.5,-0.5,1.21,0.21,0.05,0.04
2017,75,Ilkay Gündogan,Manchester City,30,1504,4,1,3.58,-0.42,2.35,1.35,0.21,0.14
2017,245,Isaac Hayden,Newcastle United,26,1370,1,0,0.84,-0.16,0.64,0.64,0.06,0.04
2017,441,Isaiah Brown,Brighton,13,296,0,0,0.09,0.09,0.79,0.79,0.03,0.24
2017,230,Islam Slimani,"Leicester, Newcastle United",16,353,1,1,1.31,0.31,0.5,-0.5,0.34,0.13
2017,360,Jack Butland,Stoke,35,3150,0,0,0,,0.02,0.02,0,0
2017,140,Jack Cork,Burnley,38,3420,2,1,1.7,-0.3,0.78,-0.22,0.04,0.02
2017,496,Jack Simpson,Bournemouth,1,74,0,0,0,,0,,0,0
2017,159,Jack Stephens,Southampton,22,1980,2,0,1.3,-0.7,0.24,0.24,0.06,0.01
2017,222,Jack Wilshere,Arsenal,20,1179,1,3,1.16,0.16,2.28,-0.72,0.09,0.17
2017,246,Jacob Murphy,Newcastle United,25,1147,1,1,1.65,0.65,1.39,0.39,0.13,0.11
2017,461,Jairo Riedewald,Crystal Palace,12,421,0,0,0.04,0.04,0,,0.01,0
2017,155,Jake Livermore,West Bromwich Albion,34,2677,2,2,2.64,0.64,1.53,-0.47,0.09,0.05
2017,105,Jamaal Lascelles,Newcastle United,33,2929,3,0,1.51,-1.49,0.37,0.37,0.05,0.01
2017,194,James Collins,West Ham,13,1051,1,0,0.48,-0.52,0.51,0.51,0.04,0.04
2017,64,James McArthur,Crystal Palace,33,2440,5,1,4.23,-0.77,2.06,1.06,0.16,0.08
2017,298,James McCarthy,Everton,4,210,0,0,0.03,0.03,0.02,0.02,0.01,0.01
2017,210,James McClean,West Bromwich Albion,30,1378,1,0,1.76,0.76,0.71,0.71,0.11,0.05
2017,260,James Milner,Liverpool,32,1734,0,3,1.14,1.14,3.42,0.42,0.06,0.18
2017,220,James Morrison,West Bromwich Albion,4,204,1,0,1.03,0.03,0.11,0.11,0.46,0.05
2017,401,James Tarkowski,Burnley,31,2790,0,0,0.89,0.89,1.08,1.08,0.03,0.03
2017,93,James Tomkins,Crystal Palace,28,2386,3,0,2.71,-0.29,0.07,0.07,0.1,0
2017,107,James Ward-Prowse,Southampton,30,1714,3,3,2.31,-0.69,3.95,0.95,0.12,0.21
2017,477,Jamie Murphy,Brighton,4,166,0,0,0.06,0.06,0.01,0.01,0.03,0.01
2017,4,Jamie Vardy,Leicester,37,3269,20,1,15.27,-4.73,3.63,2.63,0.42,0.1
2017,242,Jan Bednarek,Southampton,5,429,1,0,0.28,-0.72,0,,0.06,0
2017,313,Jan Vertonghen,Tottenham,36,3209,0,0,0.81,0.81,1.02,1.02,0.02,0.03
2017,270,Jason Puncheon,Crystal Palace,10,560,0,0,1.38,1.38,0.43,0.43,0.22,0.07
2017,406,Javier Manquillo,Newcastle United,21,1759,0,1,0.09,0.09,1.12,0.12,0,0.06
2017,372,Jay Fulton,Swansea,2,16,0,0,0,,0,,0,0
2017,44,Jay Rodriguez,West Bromwich Albion,37,2845,7,1,7.64,0.64,1.83,0.83,0.24,0.06
